R_3nqIbIbz6QI0s3j,block,trial,cond,cat,resp,err,rt,fb
,3,60,Black people,Black people,Unpleasant,1,646,
,3,61,White people,White people,Pleasant,0,834,
,3,62,White people,White people,Unpleasant,1,808,
,3,63,Black people,Black people,Pleasant,0,529,
,3,64,Black people,Black people,Unpleasant,1,719,
,3,65,White people,White people,Pleasant,0,554,
,3,66,White people,White people,Pleasant,0,498,
,3,67,Black people,Black people,Pleasant,0,614,
,3,68,White people,White people,Pleasant,0,425,
,3,69,Black people,Black people,Pleasant,0,407,
,3,70,White people,White people,Unpleasant,1,352,
,3,71,Black people,Black people,Unpleasant,1,962,
,3,72,Black people,Black people,Unpleasant,1,323,
,3,73,White people,White people,Unpleasant,1,305,
,3,74,Black people,Black people,Pleasant,0,265,
,3,75,White people,White people,Pleasant,0,328,
,3,76,Black people,Black people,Pleasant,0,330,
,3,77,White people,White people,Pleasant,0,281,
,3,78,White people,White people,Pleasant,0,504,
,3,79,Black people,Black people,Pleasant,0,418,
,3,80,White people,White people,Pleasant,0,492,
,3,81,Black people,Black people,Pleasant,0,540,
,3,82,Black people,Black people,Pleasant,0,596,
,3,83,White people,White people,Pleasant,0,595,
,3,84,White people,White people,Pleasant,0,1541,
,3,85,Black people,Black people,Pleasant,0,745,
,4,86,instructions,dummyForLog,space,0,3194,
,4,87,Black people,Black people,Pleasant,0,397,
,4,88,White people,White people,Pleasant,0,307,
,4,89,White people,White people,Pleasant,0,407,
,4,90,Black people,Black people,Pleasant,0,472,
,4,91,Black people,Black people,Pleasant,0,505,
,4,92,White people,White people,Pleasant,0,487,
,4,93,White people,White people,Pleasant,0,558,
,4,94,Black people,Black people,Pleasant,0,764,
,4,95,Black people,Black people,Pleasant,0,599,
,4,96,White people,White people,Pleasant,0,443,
,4,97,White people,White people,Pleasant,0,573,
,4,98,Black people,Black people,Pleasant,0,623,
,4,99,Black people,Black people,Pleasant,0,601,
,4,100,White people,White people,Pleasant,0,605,
,4,101,Black people,Black people,Pleasant,0,516,
,4,102,White people,White people,Pleasant,0,217,
,4,103,White people,White people,Pleasant,0,245,
,4,104,Black people,Black people,Pleasant,0,251,
,4,105,White people,White people,Unpleasant,1,560,
,4,106,Black people,Black people,Pleasant,0,422,
,4,107,Black people,Black people,Pleasant,0,334,
,4,108,White people,White people,Unpleasant,1,339,
,4,109,White people,White people,Pleasant,0,393,
,4,110,Black people,Black people,Unpleasant,1,387,
,4,111,Black people,Black people,Unpleasant,1,645,
,4,112,White people,White people,Unpleasant,1,701,
,4,113,Black people,Black people,Pleasant,0,593,
,4,114,White people,White people,Pleasant,0,557,
,4,115,White people,White people,Pleasant,0,670,
,4,116,Black people,Black people,Pleasant,0,447,
,4,117,White people,White people,Pleasant,0,378,
,4,118,Black people,Black people,Pleasant,0,304,
,4,119,Black people,Black people,Pleasant,0,572,
,4,120,White people,White people,Pleasant,0,486,
,4,121,White people,White people,Pleasant,0,535,
,4,122,Black people,Black people,Pleasant,0,545,
,4,123,White people,White people,Pleasant,0,555,
,4,124,Black people,Black people,Pleasant,0,555,
,4,125,White people,White people,Pleasant,0,328,
,4,126,Black people,Black people,Pleasant,0,582,
,0,127,instructions,dummyForLog,space,0,1526,
,9,999,end,,,,,After Black people: 51 of your responses were Pleasant; 9 of your responses were Unpleasant; <br/>After White people: 51 of your responses were Pleasant; 9 of your responses were Unpleasant; <br/>
R_3oLRqfn1x6yKzrH,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,1318,
,1,1,example,examplePrime,Unpleasant,1,1221,
,1,2,example,examplePrime,Pleasant,0,1694,
,1,3,example,examplePrime,Unpleasant,1,443,
,2,4,instructions,dummyForLog,space,0,3869,
,2,5,White people,White people,Pleasant,0,157,
,2,6,Black people,Black people,Unpleasant,1,484,
,2,7,Black people,Black people,Pleasant,0,566,
,2,8,White people,White people,Unpleasant,1,494,
,2,9,Black people,Black people,Pleasant,0,508,
,2,10,White people,White people,Unpleasant,1,363,
,2,11,White people,White people,Pleasant,0,450,
,2,12,Black people,Black people,Unpleasant,1,333,
,2,13,White people,White people,Pleasant,0,124,
,2,14,Black people,Black people,Unpleasant,1,178,
,2,15,Black people,Black people,Unpleasant,1,201,
,2,16,White people,White people,Pleasant,0,4255,
,3,18,instructions,dummyForLog,space,0,1587,
,4,20,instructions,dummyForLog,space,0,794,
,0,22,instructions,dummyForLog,space,0,1512,
,9,999,end,,,,,After White people: 4 of your responses were Pleasant; 2 of your responses were Unpleasant; <br/>After Black people: 4 of your responses were Unpleasant; 2 of your responses were Pleasant; <br/>
R_3qL1GKi8kWglNkA,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,8546,
,1,1,example,examplePrime,Unpleasant,1,1281,
,1,2,example,examplePrime,Unpleasant,1,1160,
,1,3,example,examplePrime,Unpleasant,1,2490,
,2,4,instructions,dummyForLog,space,0,12337,
,3,6,instructions,dummyForLog,space,0,2679,
,4,8,instructions,dummyForLog,space,0,1720,
,0,10,instructions,dummyForLog,space,0,829,
,9,999,end,,,,,There was an error computing your results
R_2f7r5FdGfZ5EYYU,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,1427125,
,1,1,example,examplePrime,Pleasant,0,2385,
,1,2,example,examplePrime,Unpleasant,1,3173,
,1,3,example,examplePrime,Pleasant,0,1461,
,1,4,example,examplePrime,Pleasant,0,1379,
,1,5,example,examplePrime,Pleasant,0,802,
,1,6,example,examplePrime,Pleasant,0,1146,
,1,7,example,examplePrime,Pleasant,0,1121,
,1,8,example,examplePrime,Pleasant,0,315,
,1,9,example,examplePrime,Pleasant,0,2392,
,1,10,example,examplePrime,Pleasant,0,685,
,2,11,instructions,dummyForLog,space,0,905811,
,2,12,White people,White people,Pleasant,0,1614,
,2,13,Black people,Black people,Unpleasant,1,1210,
,2,14,White people,White people,Pleasant,0,989,
,2,15,Black people,Black people,Pleasant,0,891,
,2,16,White people,White people,Pleasant,0,780,
,2,17,Black people,Black people,Pleasant,0,970,
,2,18,White people,White people,Pleasant,0,961,
